Time,P1_x,P1_y,P2_x,P2_y,P3_x,P3_y,angle1to2,angle2to3,jointAngle
1.4347666666666667,544.6319,473.0347,725.7098,467.1894,989.4177,730.0626,-1.8489012,44.909176,-46.758076
1.4514500000000001,544.6369,473.0319,725.7333,467.20508,989.4221,730.06744,-1.8428675,44.910065,-46.752934
1.4681333333333333,544.63574,473.0209,725.7302,467.19565,989.4474,730.07513,-1.8423947,44.908855,-46.75125
1.4848166666666667,544.61615,473.01337,725.72577,467.19412,989.4583,730.08514,-1.840341,44.90844,-46.74878
1.5015,544.6192,472.98923,725.7466,467.1698,989.46704,730.07654,-1.8402185,44.911465,-46.751682
1.5181833333333334,544.69275,473.03833,725.7971,467.16037,989.4981,730.07104,-1.8589507,44.91401,-46.77296
1.5348666666666666,544.6917,472.9969,725.76227,467.1441,989.4926,730.0688,-1.8513393,44.912346,-46.763687
1.55155,544.7386,473.05716,725.7664,467.14664,989.48035,730.0665,-1.8700314,44.913612,-46.783646
1.5682333333333334,544.7139,473.0649,725.79877,467.168,989.48254,730.06805,-1.8651412,44.914722,-46.779865
1.5849166666666668,544.73364,473.023,725.80444,467.16818,989.49426,730.08295,-1.8519831,44.91567,-46.76765
1.6016000000000001,544.7066,473.0546,725.7908,467.1659,989.4979,730.0872,-1.8625535,44.9145,-46.777054
1.6182833333333333,544.71155,472.99118,725.7969,467.147,989.491,730.0719,-1.8484683,44.9163,-46.76477
1.6349666666666667,544.7004,473.00317,725.8021,467.12332,989.4897,730.0928,-1.8595756,44.921875,-46.781452
1.65165,544.71075,473.00546,725.79626,467.17343,989.487,730.0726,-1.8446274,44.913868,-46.758495
1.6683333333333334,544.70306,473.02252,725.79913,467.17374,989.48535,730.0725,-1.8498151,44.914318,-46.764133
1.6850166666666666,544.70325,473.02402,725.8039,467.17834,989.5016,730.08606,-1.8487846,44.914047,-46.762833
1.7017,544.7081,473.0443,725.813,467.17834,989.47986,730.0697,-1.8551555,44.91561,-46.770767
1.7183833333333334,544.7211,473.06772,725.82996,467.16772,989.50665,730.111,-1.8658684,44.920204,-46.78607
1.7350666666666668,544.7199,473.07355,725.8343,467.16867,989.4881,730.0859,-1.8673542,44.91985,-46.787205
1.7517500000000001,544.723,473.07596,725.83307,467.17947,989.4945,730.1017,-1.8647468,44.919567,-46.784313
1.7684333333333333,544.71204,473.03812,725.83167,467.1787,989.505,730.11334,-1.8529308,44.919624,-46.772556
1.7851166666666667,544.7441,473.04922,725.8206,467.177,989.50903,730.12006,-1.8574228,44.918903,-46.776325
1.8018,544.74457,473.0733,725.8722,467.1981,989.55963,730.11926,-1.8578445,44.916626,-46.77447
